entity,code,year,value_category_a_firearm_sex_total_age_total_unit_of_measurement_rate_per_100_000_population,owid_region
Afghanistan,AFG,2023,NA,Asia
Aland Islands,ALA,2023,NA,Europe
Albania,ALB,2006,1.7372444,NA
Albania,ALB,2007,2.1833432,NA
Albania,ALB,2008,1.8710759,NA
Albania,ALB,2009,1.9247136,NA
Albania,ALB,2010,3.004724,NA
Albania,ALB,2011,2.9537997,NA
Albania,ALB,2012,3.4364214,NA
Albania,ALB,2013,3.0953655,NA
Albania,ALB,2014,2.4106762,NA
Albania,ALB,2015,1.5869555,NA
Albania,ALB,2016,1.4838502,NA
Albania,ALB,2017,1.5181614,NA
Albania,ALB,2018,1.5893687,NA
Albania,ALB,2019,1.6291107,NA
Albania,ALB,2020,1.4275997,NA
Albania,ALB,2021,1.7546104,NA
Albania,ALB,2022,1.1316986,NA
Albania,ALB,2023,0.88915604,Europe
Algeria,DZA,2012,0.10625252,NA
Algeria,DZA,2013,0.119747475,NA
Algeria,DZA,2014,0.10457841,NA
Algeria,DZA,2015,0.21489508,NA
Algeria,DZA,2016,0.13463655,NA
Algeria,DZA,2017,0.12713094,NA
Algeria,DZA,2018,0.08940117,NA
Algeria,DZA,2019,0.08315135,NA
Algeria,DZA,2020,0.1316922,NA
Algeria,DZA,2021,0.13851313,NA
Algeria,DZA,2022,0.09455248,NA
Algeria,DZA,2023,0.10830899,Africa
American Samoa,ASM,2023,NA,Oceania
Andorra,AND,2007,0,NA
Andorra,AND,2008,1.1976837,NA
Andorra,AND,2009,0,NA
Andorra,AND,2010,0,NA
Andorra,AND,2011,0,NA
Andorra,AND,2012,0,NA
Andorra,AND,2013,0,NA
Andorra,AND,2014,0,NA
Andorra,AND,2015,0,NA
Andorra,AND,2023,NA,Europe
Angola,AGO,2023,NA,Africa
Anguilla,AIA,2023,NA,North America
Antigua and Barbuda,ATG,2015,1.1184556,NA
Antigua and Barbuda,ATG,2016,4.445976,NA
Antigua and Barbuda,ATG,2017,11.053632,NA
Antigua and Barbuda,ATG,2018,3.2993863,NA
Antigua and Barbuda,ATG,2019,2.189058,NA
Antigua and Barbuda,ATG,2020,3.2663372,NA
Antigua and Barbuda,ATG,2021,4.331395,NA
Antigua and Barbuda,ATG,2022,9.6940975,NA
Antigua and Barbuda,ATG,2023,8.573067,North America
Argentina,ARG,2015,3.6364045,NA
Argentina,ARG,2017,2.8110886,NA
Argentina,ARG,2018,2.7186277,NA
Argentina,ARG,2019,2.5081456,NA
Argentina,ARG,2020,2.6752543,NA
Argentina,ARG,2021,2.4165633,NA
Argentina,ARG,2022,2.3101704,NA
Argentina,ARG,2023,2.6021993,South America
Armenia,ARM,2005,0.2328404,NA
Armenia,ARM,2006,0.5350496,NA
Armenia,ARM,2007,0.7395408,NA
Armenia,ARM,2008,0.6081102,NA
Armenia,ARM,2009,0.30554911,NA
Armenia,ARM,2010,0.3411714,NA
Armenia,ARM,2011,0.20524956,NA
Armenia,ARM,2012,0.2395187,NA
Armenia,ARM,2013,0.37638775,NA
Armenia,ARM,2014,0.27374554,NA
Armenia,ARM,2015,0.890052,NA
Armenia,ARM,2016,0.5139111,NA
Armenia,ARM,2017,0.61750346,NA
Armenia,ARM,2018,0.20618808,NA
Armenia,ARM,2019,0.6542764,NA
Armenia,ARM,2020,0.4842795,NA
Armenia,ARM,2021,0.38322872,NA
Armenia,ARM,2022,0.41654018,NA
Armenia,ARM,2023,0.37371835,Asia
Aruba,ABW,2023,NA,North America
