offence_group,year,rate
violence,1981-12-01,53.284100914193054
violence,1983-12-01,51.467580167133
violence,1987-12-01,56.57678864279893
violence,1991-12-01,71.61203060559066
violence,1993-12-01,92.9547178259565
violence,1995-12-01,109.72554258105562
violence,1997-12-01,91.44925778648556
violence,1999-12-01,81.65968035018021
violence,2002-03-01,62.36176242980638
violence,2003-03-01,62.61754774629591
violence,2004-03-01,56.79141127299085
violence,2005-03-01,52.45720709170274
violence,2006-03-01,52.67956960030476
violence,2007-03-01,53.72757833694399
violence,2008-03-01,45.95467294029942
violence,2009-03-01,43.52814628315328
violence,2010-03-01,42.06812954918824
violence,2011-03-01,48.18591019724439
violence,2012-03-01,43.93844081294425
violence,2013-03-01,43.12573547728828
violence,2014-03-01,34.49964877981328
violence,2015-03-01,37.93470364111787
violence,2016-03-01,32.00674590643956
violence,2017-03-01,30.9855961592622
violence,2018-03-01,30.649353842613728
violence,2019-03-01,28.71141364483866
violence,2020-03-01,26.29158337846594
violence,2022-09-01,23.80535798569123
violence,2023-09-01,18.62942759294368
violence with injury,1981-12-01,31.649245873841625
violence with injury,1983-12-01,30.876565638262974
violence with injury,1987-12-01,39.74758499620532
violence with injury,1991-12-01,43.89959204909959
violence with injury,1993-12-01,59.394614547399286
violence with injury,1995-12-01,64.43889362012553
violence with injury,1997-12-01,57.73129345360423
violence with injury,1999-12-01,47.76579538697719
violence with injury,2002-03-01,36.85069464550272
violence with injury,2003-03-01,34.45621765151203
violence with injury,2004-03-01,30.56974518001208
violence with injury,2005-03-01,30.03709040351425
violence with injury,2006-03-01,28.529577532447167
violence with injury,2007-03-01,27.77554241303881
violence with injury,2008-03-01,23.79122960758743
violence with injury,2009-03-01,23.32681808933423
violence with injury,2010-03-01,22.20762169521757
violence with injury,2011-03-01,27.920101408352895
violence with injury,2012-03-01,22.96722531788222
violence with injury,2013-03-01,25.48537509332952
violence with injury,2014-03-01,14.66303659053074
violence with injury,2015-03-01,18.4168996938355
violence with injury,2016-03-01,13.74747840877514
violence with injury,2017-03-01,15.185932452424987
violence with injury,2018-03-01,14.309707102752093
violence with injury,2019-03-01,15.2552034036023
violence with injury,2020-03-01,12.53853552553568
violence with injury,2022-09-01,9.548460786405844
violence with injury,2023-09-01,8.45906727704371
serious injury,1981-12-01,14.047079762278193
serious injury,1983-12-01,11.5996003301466
serious injury,1987-12-01,15.31290041760289
serious injury,1991-12-01,19.521768489024176
serious injury,1993-12-01,21.56526179202326
serious injury,1995-12-01,26.4616474705652
serious injury,1997-12-01,22.944096991310815
serious injury,1999-12-01,17.62787891916166
serious injury,2002-03-01,17.32900502897768
serious injury,2003-03-01,17.68876388645582
serious injury,2004-03-01,15.66098031036526
serious injury,2005-03-01,14.70267177515993
serious injury,2006-03-01,14.01326753571306
serious injury,2007-03-01,14.37610826139998
serious injury,2008-03-01,12.025162550899
serious injury,2009-03-01,10.63750466264459
serious injury,2010-03-01,11.93448715514982
serious injury,2011-03-01,12.88023973754736
serious injury,2012-03-01,12.08349191067513
serious injury,2013-03-01,11.69286472018946
serious injury,2014-03-01,7.099400608978602
serious injury,2015-03-01,9.433071052979587
serious injury,2016-03-01,7.209916231802634
serious injury,2017-03-01,8.200029686045843
serious injury,2018-03-01,5.209454239994406
serious injury,2019-03-01,7.090727082525418
serious injury,2020-03-01,7.2297696724530605
serious injury,2022-09-01,4.623772123560501
serious injury,2023-09-01,3.813778028031618
minor injury,1981-12-01,17.60216611156346
minor injury,1983-12-01,20.59101452887008
minor injury,1987-12-01,24.43468457860252
minor injury,1991-12-01,24.377823560075072
minor injury,1993-12-01,37.829352755376085
minor injury,1995-12-01,37.97724614956039
minor injury,1997-12-01,34.78719646229342
minor injury,1999-12-01,30.13791646781553
minor injury,2002-03-01,19.52168961652499
minor injury,2003-03-01,16.76745376505623
minor injury,2004-03-01,14.90876486964684
minor injury,2005-03-01,15.33441862835431
minor injury,2006-03-01,14.51630999673412
minor injury,2007-03-01,13.58494087229678
minor injury,2008-03-01,11.76606705668842
minor injury,2009-03-01,12.689313426689647
minor injury,2010-03-01,10.273134540067772
minor injury,2011-03-01,15.03986167080558
minor injury,2012-03-01,10.88373340720708
minor injury,2013-03-01,13.79251037314007
minor injury,2014-03-01,7.563635981552136
minor injury,2015-03-01,8.98382864085591
minor injury,2016-03-01,6.537562176972501
minor injury,2017-03-01,6.985902766379133
minor injury,2018-03-01,9.100252862757683
minor injury,2019-03-01,8.164476321076883
minor injury,2020-03-01,5.308765853082608
minor injury,2022-09-01,4.9246886628453375
minor injury,2023-09-01,4.64528924901209
no injury,1981-12-01,21.63485504035137
no injury,1983-12-01,20.59101452887008
no injury,1987-12-01,16.829203646593545
no injury,1991-12-01,27.712438556491183
no injury,1993-12-01,33.56010327855692
no injury,1995-12-01,45.28664896092965
no injury,1997-12-01,33.71796433288098
no injury,1999-12-01,33.89388496320307
no injury,2002-03-01,25.51106778430379
no injury,2003-03-01,28.16133009478376
no injury,2004-03-01,26.22166609297876
no injury,2005-03-01,22.42011668818851
no injury,2006-03-01,24.14999206785753
no injury,2007-03-01,25.952035923905136
no injury,2008-03-01,22.163443332712
no injury,2009-03-01,20.20132819381903
no injury,2010-03-01,19.860507853970535
no injury,2011-03-01,20.26580878889152
no injury,2012-03-01,20.971215495062
no injury,2013-03-01,17.64036038395875
no injury,2014-03-01,19.83661218928254
no injury,2015-03-01,19.51780394728238
no injury,2016-03-01,18.25926749766446
no injury,2017-03-01,15.79966370683722
no injury,2018-03-01,16.33964673986167
no injury,2019-03-01,13.45621024123636
no injury,2020-03-01,13.75304785293028
no injury,2022-09-01,14.256897199285406
no injury,2023-09-01,10.17036031589998
personal robbery,1981-12-01,4.232886959985304
personal robbery,1983-12-01,3.71381726794886
personal robbery,1987-12-01,4.448394545438624
personal robbery,1991-12-01,4.815848184982178
personal robbery,1993-12-01,6.278209025873345
personal robbery,1995-12-01,7.9087151309558
personal robbery,1997-12-01,8.245106285144516
personal robbery,1999-12-01,9.533572296047891
personal robbery,2002-03-01,8.301310061641338
personal robbery,2003-03-01,7.050314751990278
personal robbery,2004-03-01,6.48273476180647
personal robbery,2005-03-01,5.873573403542224
personal robbery,2006-03-01,7.148420542976105
personal robbery,2007-03-01,7.465585456176834
personal robbery,2008-03-01,7.080245442311496
personal robbery,2009-03-01,6.084344346636144
personal robbery,2010-03-01,7.298469956895217
personal robbery,2011-03-01,5.420111036635625
personal robbery,2012-03-01,5.468945285980319
personal robbery,2013-03-01,4.443003685847928
personal robbery,2014-03-01,3.6624586603858207
personal robbery,2015-03-01,1.9403118644116577
personal robbery,2016-03-01,3.3359505250613735
personal robbery,2017-03-01,2.792942334727607
personal robbery,2018-03-01,3.442903031468922
personal robbery,2019-03-01,4.103080975498316
