date,type,number
2003-03-31,officers,132509.36
2003-03-31,staff,62581.34
2003-03-31,pcsos,1175.77
2004-03-31,officers,138468.37
2004-03-31,staff,68093.16
2004-03-31,pcsos,3417.72
2005-03-31,officers,141059.41
2005-03-31,staff,72340.67
2005-03-31,pcsos,6214.09
2006-03-31,officers,141522.95
2006-03-31,staff,75113.43999999999
2006-03-31,pcsos,6769.11
2007-03-31,officers,141892.95999999993
2007-03-31,staff,76856.79
2007-03-31,pcsos,13529.169999999998
2008-03-31,officers,141156.90999999997
2008-03-31,staff,78970.49
2008-03-31,pcsos,15806.52
2009-03-31,officers,143768.87
2009-03-31,staff,82409.41999999997
2009-03-31,pcsos,16507.129999999994
2010-03-31,officers,143734.43999999997
2010-03-31,staff,83436.13
2010-03-31,pcsos,16917.520000000004
2011-03-31,officers,139109.61
2011-03-31,staff,78073.75000000001
2011-03-31,pcsos,15819.830000000002
2012-03-31,officers,134100.02
2012-03-31,staff,71592.36
2012-03-31,pcsos,14392.900000000009
2013-03-31,officers,129583.79
2013-03-31,staff,69822.16
2013-03-31,pcsos,14204.509999999991
2014-03-31,officers,127909.3
2014-03-31,staff,68370.26
2014-03-31,pcsos,13065.890000000005
2015-03-31,officers,127192.46000000004
2015-03-31,staff,68147.48
2015-03-31,pcsos,12370.39
2016-03-31,officers,124066.25000000006
2016-03-31,staff,65797.26
2016-03-31,pcsos,11043.189999999997
2017-03-31,officers,123141.99450000004
2017-03-31,staff,65319.428262167814
2017-03-31,pcsos,10213.476470269785
2018-03-31,officers,122404.800975
2018-03-31,staff,67200.49568633299
2018-03-31,pcsos,10138.968989198
2019-03-31,officers,123188.85695
2019-03-31,staff,69301.78108127491
2019-03-31,pcsos,9547.10188919799
2020-03-31,officers,129110.02466978366
2020-03-31,staff,72330.51076935565
2020-03-31,pcsos,9248.060784779296
2021-03-31,officers,135301.41372500005
2021-03-31,staff,75933.88845453461
2021-03-31,pcsos,9284.175799331037
2022-03-31,officers,140228.325965
2022-03-31,staff,76250.24721619228
2022-03-31,pcsos,8750.04080733112
2023-03-31,officers,147429.623849726
2023-03-31,staff,78595.96779124792
2023-03-31,pcsos,7806.272526451443
